DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-04,135,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-05,120,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-06,85,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-07,80,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-08,60,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-09,100,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-10,125,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-11,80,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2024-12,110,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Croatia,2025-01,90,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-04,5,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-05,5,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-06,0,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-07,5,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-08,0,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-09,5,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-10,5,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-11,0,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2024-12,5,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2025-01,5,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2025-02,10,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Hungary,2025-03,5,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Ireland,2024-04,2025,,
